pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko00515	-0.045574400780735	-0.302286330045298	-4.39804862436912	5.64528054623635e-05	0.000677433665548362	1.07676489337938	-3.16913322458158	down	-0.352822766815678	-0.301573650931732	-0.330278159810137	-0.23952080627494	-0.243702113939021	-0.262585044797542	-0.36577172974846	-0.225149252123032	-0.267035603693587	-0.259545171953105	-0.218912433062592	-0.314796649898936	-0.269008716546862	-0.241011146002605	-0.260132071027606	-0.261053918534439	-0.249914481682285	-0.320039122741873	-0.25836030786664	-0.257620644086068	-0.350623603373429	-0.295654582382562	-0.321328267496216	-0.326672359347225	-0.26877770683951	-0.261620889538446	-0.331540690961983	-0.300359931188058	-0.28920464716644	-0.305098899901476	-0.322187702049581	-0.352432746917402	-0.344840641843208	-0.334191905667079	-0.37276062832431	-0.316091545461615	-0.357442353812953	-0.28729935667161	-0.320063201495653	-0.341637204039025	-0.345342946691234	-0.362378828901139	-0.346680235602417	-0.292888303017939	-0.353196353738393	-0.2652275165236	-0.272451504371213	-0.284539240476806	-0.325719430470326	-0.367229486456915
ko00290	-0.0601130523788666	0.216705719186914	-3.5207503070902	0.000922313175640598	0.00599503564166388	-1.60235925596515	-2.2222082305915	down	0.183339302631737	0.267473537395836	0.234125831383318	0.288247554559312	0.244756460989714	0.225230522790398	0.241448060612707	0.268951785392136	0.296121797353855	0.254089893980284	0.360904252626655	0.208675680653408	0.243197360498842	0.161638649666518	0.29817777254052	0.257358715622816	0.209091243573859	0.260041358537578	0.220620923936027	0.331980307539159	0.295486337220106	0.207575809210457	0.182326983626008	0.176703207358476	0.23174361818423	0.199348657300833	0.267152553436412	0.243374567414846	0.197063515070083	0.253607660045614	0.141938943960888	0.268944529414926	0.216112063986771	0.0376485085543325	0.21083260791966	0.22406141106534	0.153249236473824	0.227839535158368	0.225731063279917	0.123783092769643	0.127796825530123	0.205424517111085	0.131133733690679	0.0743055658520919	0.191180518203828	0.0184544480263427	0.224626033125385	0.256917611739185	0.19066247803516	0.274789314296405
ko04013	-0.0179018731989055	-0.0283278171523147	-4.51011675512246	3.88232263472138e-05	0.000550583937287759	1.43953520200992	-3.25917646284652	down	-0.0103547248728449	-0.04238330624928	-0.0129777258675795	-0.00383958159985788	-0.00545304170278264	-0.0454928041026625	-0.0215539017354035	-0.00432953887404328	-0.00317374581559799	-0.0167749074248905	-0.00564819093440265	-0.0337599936623752	-0.0264683044344736	-0.0221577737181513	-0.00551359515018023	-0.0202658165906335	-0.0164291862524051	-0.0246197595062781	-0.0105751237806216	-0.0199628423849639	-0.0158512972631994	-0.0220192944127232	-0.0401891252594456	-0.0185168922227799	-0.0117194896301138	-0.046988878539944	-0.0397550738455292	-0.0257879916230179	-0.0311752485247579	-0.035886908808672	-0.0353778217088084	-0.0227844026249041	-0.0545259636068651	-0.0273975133559482	-0.0463308625653227	-0.0293355500959682	-0.0412694828766881	-0.0444065469253344	-0.0507897696963411	-0.0388785474361461	-0.0207212857799632	-0.0453716794914262	-0.0335269843475534	-0.013985248876585	-0.0506196793967878	-0.0275896726558271	-0.0334249325586401	-0.0588094180499494	-0.0433670934737397	-0.0582543373033254
ko00232	-0.0598225141407238	-0.0331775724012794	-5.28793885279213	2.67028446096044e-06	9.18549064170526e-05	4.05007472464062	-4.03689764095924	down	-0.00636140848866198	0.0063405438224907	0.0445970583010396	0.0119991683647698	-0.0302841914051695	-0.0191800795177787	0.0582376702898961	-0.00249896849850193	0.0420016965509945	-0.00341321633564683	0.0747208031772549	0.0356832807800132	-0.0266261221995476	-0.0392245769106565	0.0015294613043912	-0.0483747398433843	0.015912579443207	0.00940289573720525	-0.0451620925125944	-0.0249810403962228	-0.0596565641369032	0.00292551564025593	-0.0535099706000429	-0.0472332912056442	-0.0718659549167555	-0.0888598687334137	-0.011009198173308	-0.088079283643331	-0.0343265504365605	-0.0365317721418393	-0.0332527016086016	-0.0451876134213424	-0.0164153698477537	-0.0877158618320888	-0.085134291792003	-0.0234299486367295	0.0480398157079869	-0.105561312913964	-0.0152224312546903	-0.121460429116745	-0.0388444529883434	-0.0337013569598238	-0.0536879646322894	-0.0577842765213629	-0.0363920128543553	-0.0959266893282301	-0.0836859420154024	-0.177634248312622	-0.0690841702553164	-0.0929691447958472
ko00563	-0.029661755316757	-0.00397240620471613	-5.03284780429011	6.50891133512092e-06	0.000126923771034858	3.17832530226636	-3.89645703304736	down	-0.010001639238268	-0.0155899555491387	-0.00478350912147857	0.0370447519588337	0.0178950188375391	-0.00554744681293582	-0.0129019922368567	0.0177486652937017	0.0177712374351267	0.00825284300242617	0.0943599793197837	-0.00112002221804397	-0.00216928752172863	0.0242055027386496	0.035342183139521	0.0042666600515392	0.0297030144608611	0.0203461390225049	0.0151623098345286	0.00650848731019594	0.00494604213672117	-0.0136250940686521	-0.0119387783751149	-0.0224243309803944	0.00886133351909005	0.0104662741748663	-0.010472300046022	0.00541757585020746	0.00326125540519793	-0.0129429999994526	-0.0165359679164698	-0.00075109740067327	-0.0190928829452743	-0.0259886597222105	-0.0319914552425703	-0.0205704407210889	-0.0325722416521392	-0.0182812404338285	-0.00844651079994741	-0.0159851553100199	-0.0284723630147413	-0.029402362613543	-0.0325977675959565	0.0246625340208209	-0.0363320463350505	-0.024702662244985	-0.0177882171642861	-0.0140881865730594	-0.0387318979430592	-0.0489936059509323
ko03265	-0.162766019077024	-0.0187703606915542	-6.45109709843576	4.17132367128554e-08	6.50726492720544e-06	8.14451394620677	-5.18660151167996	down	0.186801922261408	0.0874694858295862	0.184012538489267	0.149419666004974	0.233132165185259	0.0673867258401463	0.190050681849691	0.198718340772234	0.160859006491886	0.219404940463197	-0.0732102148402481	-0.0043368331220704	0.0165329910451925	-0.000754632446723809	0.00712613916133873	0.00671120945613489	0.0322566507539203	-0.0389462462463316	-0.0361201838155123	-0.00872933804014633	-0.0758127465773967	0.0322985617253476	-0.0338298564977986	0.0115510484656287	0.0168247348935331	-0.0194904633897843	-0.126026698515876	-0.0669260341575532	-0.282148711671751	-0.0518079184343869	-0.0566123426046945	-0.148117291677444	-0.150655755203916	-0.0763067376180019	-0.143900228865738	-0.0328819203548641	-0.0554938873338834	-0.0301605172076834	-0.152554504513557	-0.0890874111808197	-0.0709347877964511	-0.118395003262502	-0.105637554476689	0.0281511543874082	-0.166588548313491	0.0565344318301762	-0.0180203714445432	-0.23336016339347	-0.168027929696498	-0.188885596784214
