CPD_ID	MS2_name	MS2_score	level	MS1_name	MS1_ppm	mz	rt	Formula	type	HMDB	Chinese.Name	CAS	KEGG COMPOUND ID	Super.Class	Superclass.Chinese	Class	Class.Chinese	Sub.Class	Subclass.Chinese
CPD0001	Phe-Pro	4	level1			263.139	144	C14H18N2O3	POS	HMDB0011177	苯丙氨酸-脯氨酸	7669-65-0		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0002	Cytidine 5'-monophosphate (CMP)	3.99	level1			324.0593	263.3	C9H14N3O8P	POS	HMDB0000095	5 ' -胞苷酸单磷酸	63-37-6	C00055	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Pyrimidine nucleotides	嘧啶核苷酸类	Pyrimidine ribonucleotides	嘧啶核糖核苷酸
CPD0003	Guanosine	3.99	level1			284.0988	155.1	C10H13N5O5	POS	HMDB0000133		118-00-3	C00387	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleosides	嘌呤核苷类	Purine nucleosides	嘌呤核苷类
CPD0004	L-?Leucyl-?L-?alanine	3.99	level1			203.139	138.3	C9H18N2O3	POS	HMDB0028922	L-亮氨酰基-L -丙氨酸	7298-84-2		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0005	SM(d18:1/17:0)	3.99	level1			717.5906	104.9	C40H81N2O6P	POS	HMDB0240609	N-十七碳酰-鞘氨醇磷酸胆碱	121999-64-2		Lipids and lipid-like molecules	脂质和类脂分子	Sphingolipids	鞘脂类	Phosphosphingolipids	鞘磷脂
CPD0006	Leu-Ile	3.99	level1			245.1859	98.3	C12H24N2O3	POS	HMDB0028932		36077-41-5		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0007	Thiamine monophosphate	3.98	level1			345.0783	278.2	C12H17N4O4PS	POS	HMDB0002666	硫胺素磷酸酯	495-23-8	C01081	Organoheterocyclic compounds	有机杂环化合物	Diazines	二氮杂苯	Pyrimidines and pyrimidine derivatives	嘧啶类和嘧啶类衍生物
CPD0008	Guanosine 5'-monophosphate (GMP)	3.98	level1			364.0656	266.5	C10H14N5O8P	POS	HMDB0001397		85-32-5	C00144	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleotides	嘌呤核苷酸类	Purine ribonucleotides	嘌呤核糖核苷酸
CPD0009	Glu-Arg	3.98	level1			304.1617	256.9	C11H21N5O5	POS	HMDB0028813	谷氨酰精氨酸	7219-59-2		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0010	Adenosine monophosphate (AMP)	3.98	level1			348.0706	248.9	C10H14N5O7P	POS	HMDB0000045	磷酸腺苷	61-19-8	C00020	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleotides	嘌呤核苷酸类	Purine ribonucleotides	嘌呤核糖核苷酸
CPD0011	Coproporphyrin I	3.98	level1			655.2769	242.3	C36H38N4O8	POS	HMDB0000643	粪卟啉 I	90540-79-7	C05769	Organoheterocyclic compounds	有机杂环化合物	Tetrapyrroles and derivatives	四吡咯类及衍生物	Porphyrins	卟啉
CPD0012	Flavin adenine dinucleotide (FAD)	3.98	level1			786.1644	232.5	C27H33N9O15P2	POS	HMDB0001248	黄素腺嘌呤二核苷酸	146-14-5	C00016	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Flavin nucleotides	黄素核苷酸类	Flavin nucleotides	黄素核苷酸类
CPD0013	Glutamate	3.98	level1			148.0603	231.6	C5H9NO4	POS	HMDB0000148	谷氨酸	56-86-0	C00025	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0014	Trehalose	3.98	level1			365.1055	230.1	C12H22O11	POS	HMDB0000975	海藻糖	99-20-7	C01083	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0015	Glycerophosphocholine	3.98	level1			258.1099	224.4	C8H20NO6P	POS	HMDB0000086	甘磷酸胆碱	28319-77-9	C00670	Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphocholines	甘油磷酸胆碱
CPD0016	Histamine	3.98	level1			112.0868	211.9	C5H9N3	POS	HMDB0000870	组胺	51-45-6	C00388	Organic nitrogen compounds	有机含氮化合物	Organonitrogen compounds	有机氮化合物	Amines	胺
CPD0017	Creatine	3.98	level1			132.0766	203.8	C4H9N3O2	POS	HMDB0000064	肌酸	57-00-1	C00300	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0018	4-Hydroxyproline	3.98	level1			132.0654	203	C5H9NO3	POS	HMDB0000725	羟脯氨酸	51-35-4	C01157	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0019	Pipecolic acid	3.98	level1			130.0861	184	C6H11NO2	POS	HMDB0000716	L-哌啶甲酸	3105-95-1	C00408	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0020	Valine	3.98	level1			118.0861	177.3	C5H11NO2	POS	HMDB0000883	缬氨酸	72-18-4	C00183	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0021	Methionine	3.98	level1			150.0582	169.5	C5H11NO2S	POS	HMDB0033951	消旋蛋氨酸	59-51-8	C01733	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0022	Trigonelline	3.98	level1			138.0549	168.7	C7H7NO2	POS	HMDB0000875	葫芦巴碱	535-83-1	C01004	Alkaloids and derivatives	生物碱和衍生物	Alkaloids and derivatives	生物碱和衍生物	Alkaloids and derivatives	生物碱和衍生物
CPD0023	L-Alanyl-L-leucine	3.98	level1			203.1389	155.2	C9H18N2O3	POS	HMDB0028691	l -丙氨酰- l -亮氨酸	3303-34-2		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0024	H-Val-Ala-OH	3.98	level1			189.1232	152.4	C8H16N2O3	POS	HMDB0029120	缬氨酸酰丙氨酸	27493-61-4		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0025	Cytidine	3.98	level1			244.0928	136.9	C9H13N3O5	POS	HMDB0000089	胞苷	65-46-3	C00475	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Pyrimidine nucleosides	嘧啶核苷类	Pyrimidine nucleosides	嘧啶核苷类
CPD0026	Isonicotinic acid	3.98	level1			124.0392	128	C6H5NO2	POS	HMDB0060665	异烟酸	55-22-1	C07446	Organoheterocyclic compounds	有机杂环化合物	Pyridines and derivatives	吡啶及衍生物	Pyridinecarboxylic acids and derivatives	吡啶羧酸及衍生物
CPD0027	Phe-Ala	3.98	level1			237.1232	122	C12H16N2O3	POS	HMDB0028988	苯丙氨酸-丙氨酸	3918-87-4		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0028	Inosine	3.98	level1			269.0879	120.1	C10H12N4O5	POS	HMDB0000195		58-63-9	C00294	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleosides	嘌呤核苷类	Purine nucleosides	嘌呤核苷类
CPD0029	3-AMINO-2-PIPERIDONE	3.98	level1			115.0865	102.3	C5H10N2O	POS	HMDB0000323	3 -氨基哌啶- 2 -酮	1892-22-4		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0030	PE(18:0/18:2)	3.98	level1			744.5535	73.2	C41H78NO8P	POS	HMDB0008994	"1-十八碳酰基-2-( 9Z , 12Z -十八碳二烯酰)-sn-甘油-3 -磷酸乙醇胺"	7266-53-7		Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphoethanolamines	磷脂酰乙醇胺
CPD0031	Nonaethylene glycol	3.98	level1			415.254	32.9	C18H38O10	POS		九甘醇	3386-18-3		Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Ethers	醚
CPD0032	Harmine	3.98	level1			213.1021	19.7	C13H12N2O	POS	HMDB0030311	去氢骆驼蓬碱	442-51-3	C06538	Alkaloids and derivatives	生物碱和衍生物	Harmala alkaloids	骆驼蓬生物碱	Harmala alkaloids	骆驼蓬生物碱
CPD0033	4-Aminobutyric acid (GABA)	3.98	level1			104.0705	216.6	C4H9NO2	POS	HMDB0000112	γ-氨基丁酸	56-12-2	C00334	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0034	Nicotinate	3.97	level1			124.0392	128	C6H5NO2	POS	HMDB0001488	烟酸	59-67-6	C00253	Organoheterocyclic compounds	有机杂环化合物	Pyridines and derivatives	吡啶及衍生物	Pyridinecarboxylic acids and derivatives	吡啶羧酸及衍生物
CPD0035	Argininosuccinic acid	3.97	level1			291.13	268.4	C10H18N4O6	POS	HMDB0000052	L -精氨琥珀酸	2387-71-5	C03406	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0036	Nicotinamide mononucleotide (NMN)	3.97	level1			335.0642	267.3	C11H15N2O8P	POS	HMDB0000229		1094-61-7	C00455	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Pyridine nucleotides	吡啶核苷酸类	Nicotinamide nucleotides	烟酰胺核苷酸
CPD0037	Saccharopine	3.97	level1			277.1395	258.6	C11H20N2O6	POS	HMDB0000279	L-酵母氨酸	997-68-2	C00449	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0038	Cytidine 5'-diphosphocholine (CDP-choline)	3.97	level1			489.1153	254.8	C14H26N4O11P2	POS	HMDB0001413	胞磷胆碱	987-78-0	C00307	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Pyrimidine nucleotides	嘧啶核苷酸类	Pyrimidine ribonucleotides	嘧啶核糖核苷酸
CPD0039	EDTA	3.97	level1			293.0981	253.2	C10H16N2O8	POS	HMDB0015109	乙二胺四乙酸	62-33-9	C00284	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	Tetracarboxylic acids and derivatives	四羧酸及衍生物
CPD0040	Arg-Ala	3.97	level1			246.156	238.7	C9H19N5O3	POS	HMDB0028702	精氨酰丙氨酸	40968-45-4		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0041	Adenosine 3'-monophosphate	3.97	level1			348.0706	237	C10H14N5O7P	POS	HMDB0003540	3 ' -腺苷酸	84-21-9	C01367	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Ribonucleoside 3'-phosphates	核糖核苷 3'-磷酸	Ribonucleoside 3'-phosphates	核糖核苷 3'-磷酸
CPD0042	Glycerophosphoethanolamine	3.97	level1			216.0631	228.3	C5H14NO6P	POS	HMDB0059660	磷脂酰乙醇胺	1190-00-7	C01233	Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphoethanolamines	磷脂酰乙醇胺
CPD0043	Glutamine	3.97	level1			147.0763	218.6	C5H10N2O3	POS	HMDB0000641	谷氨酰胺	56-85-9	C00064	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0044	Methionine sulfoxide	3.97	level1			166.0531	216.3	C5H11NO3S	POS	HMDB0002005	蛋氨酸亚砜	62697-73-8	C02989	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0045	Carnitine	3.97	level1			162.1122	206.5	C7H15NO3	POS	HMDB0000062	左卡尼丁	541-15-1	C00318	Organic nitrogen compounds	有机含氮化合物	Organonitrogen compounds	有机氮化合物	Quaternary ammonium salts	季铵盐
CPD0046	Pro-Gly	3.97	level1			173.092	204.3	C7H12N2O3	POS	HMDB0011178	L -脯氨酰甘氨酸	2578-57-6		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0047	Alanine	3.97	level1			90.0549	202.7	C3H7NO2	POS	HMDB0000161	丙氨酸	56-41-7	C00041	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0048	Ectoine	3.97	level1			143.0814	198.1	C6H10N2O2	POS	HMDB0240650	四氢嘧啶	96702-03-3	C06231	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0049	Thiamine	3.97	level1			265.1116	196.5	C12H17N4OS	POS	HMDB0000235	硫胺素	59-43-8	C00378	Organoheterocyclic compounds	有机杂环化合物	Diazines	二氮杂苯	Pyrimidines and pyrimidine derivatives	嘧啶类和嘧啶类衍生物
CPD0050	N-Acetylputrescine	3.97	level1			131.1178	186.3	C6H14N2O	POS	HMDB0002064	N -乙酰腐胺	18233-70-0	C02714	Organic acids and derivatives	有机酸及其衍生物	Carboximidic acids and derivatives	碳酰亚胺酸及衍生物	Carboximidic acids	碳酰亚胺酸
CPD0051	Dimethylglycine	3.97	level1			104.0705	175.7	C4H9NO2	POS	HMDB0000092	N，N -二甲基甘氨酸	1118-68-9	C01026	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0052	Stercobilin	3.97	level1			595.349	168.5	C33H46N4O6	POS	HMDB0004159	粪胆素	34217-90-8	C05793	Organoheterocyclic compounds	有机杂环化合物	Tetrapyrroles and derivatives	四吡咯类及衍生物	Bilirubins	胆红素
CPD0053	H-Val-Tyr-OH	3.97	level1			281.1497	134.2	C14H20N2O4	POS	HMDB0029139	缬氨酸-酪氨酸	3061-91-4		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0054	Xanthurenic acid	3.97	level1			206.0447	124.7	C10H7NO4	POS	HMDB0000881	黄尿酸	59-00-7	C02470	Organoheterocyclic compounds	有机杂环化合物	Quinolines and derivatives	喹啉及衍生物	Quinoline carboxylic acids	喹啉羧酸
CPD0055	1-Myristoyl-sn-glycero-3-phosphocholine (LPC(14:0/0:0))	3.97	level1			468.3088	117.4	C22H46NO7P	POS	HMDB0010379	1 -肉豆蔻酰- sn -甘油-3 -磷酸胆碱	20559-16-4		Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphocholines	甘油磷酸胆碱
CPD0056	Val-Met	3.97	level1			249.1266	116.1	C10H20N2O3S	POS	HMDB0029133	缬氨酰-甲硫氨酸	14486-09-0		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0057	LPE(18:1(9Z)/0:0)	3.97	level1			480.3081	114.2	C23H46NO7P	POS	HMDB0011506	1 - ( 9Z -十八烯酰基) - sn-甘油-3 -磷酸乙醇胺	89576-29-4		Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphoethanolamines	磷脂酰乙醇胺
CPD0058	"N2,N2-Dimethylguanosine"	3.97	level1			312.1303	100.3	C12H17N5O5	POS	HMDB0004824		2140-67-2		"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleosides	嘌呤核苷类	Purine nucleosides	嘌呤核苷类
CPD0059	L-Valyl-L-phenylalanine	3.97	level1			265.1547	98.4	C14H20N2O3	POS	HMDB0029134	L -缬氨酰- L -苯丙氨酸	3918-92-1		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0060	Melamine	3.97	level1			127.0726	87.5	C3H6N6	POS	HMDB0041922	三聚氰胺	108-78-1	C08737	Organoheterocyclic compounds	有机杂环化合物	Triazines	三嗪	"1,3,5-triazines"	"1,3,5-三嗪"
CPD0061	Hypoxanthine	3.97	level1			137.0456	76.9	C5H4N4O	POS	HMDB0000157		68-94-0	C00262	Organoheterocyclic compounds	有机杂环化合物	Imidazopyrimidines	咪唑并嘧啶	Purines and purine derivatives	嘌呤和嘌呤衍生物
CPD0062	Uridine	3.97	level1			245.0765	75	C9H12N2O6	POS	HMDB0000296	尿苷	58-96-8	C00299	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Pyrimidine nucleosides	嘧啶核苷类	Pyrimidine nucleosides	嘧啶核苷类
CPD0063	Pyridoxal (Vitamin B6)	3.97	level1			168.0653	39.5	C8H9NO3	POS	HMDB0001545	吡哆醛	66-72-8	C00250	Organoheterocyclic compounds	有机杂环化合物	Pyridines and derivatives	吡啶及衍生物	Pyridine carboxaldehydes	吡啶甲醛
CPD0064	"7,8-Dihydroxyflavone"	3.97	level1			255.0652	23.5	C15H10O4	POS	HMDB0247297	"7,8-二羟基黄酮"	38183-03-8		Phenylpropanoids and polyketides	苯丙素类和聚酮类	Flavonoids	黄酮类	Flavones	黄酮
CPD0065	Isoquinoline	3.97	level1			130.065	19.5	C9H7N	POS	HMDB0034244	异喹啉	119-65-3	C06323	Organoheterocyclic compounds	有机杂环化合物	Isoquinolines and derivatives	异喹啉和衍生物	Isoquinolines and derivatives	异喹啉和衍生物
CPD0066	Proline	3.97	level1			116.0704	182.8	C5H9NO2	POS	HMDB0000162	脯氨酸	147-85-3	C00148	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0067	Maltose	3.96	level1			365.1055	230.1	C12H22O11	POS	HMDB0000163		69-79-4	C00208	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0068	Lysine	3.96	level1			147.1127	291.2	C6H14N2O2	POS	HMDB0000182	赖氨酸	56-87-1	C00047	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0069	Nicotinamide adenine dinucleotide (NAD)	3.96	level1			664.1173	251	C21H28N7O14P2	POS	HMDB0000902	烟酰胺-腺嘌呤-二核苷酸	53-84-9	C00003	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	(5'->5')-dinucleotides	(5'->5')-二核苷酸类	(5'->5')-dinucleotides	(5'->5')-二核苷酸类
CPD0070	sn-Glycerol 3-phosphate	3.96	level1			173.0209	250	C3H9O6P	POS	HMDB0000126	Sn - 3 -磷酸甘油	17989-41-2|57-03-4	C00093	Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphates	磷酸甘油
CPD0071	Prolylhydroxyproline	3.96	level1			229.1183	244.2	C10H16N2O4	POS	HMDB0006695		18684-24-7		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0072	Ala-Glu	3.96	level1			219.0976	238.6	C8H14N2O5	POS	HMDB0028686	谷氨酸丙氨酸	13187-90-1	C20957	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0073	N2-Acetyllysine	3.96	level1			189.1233	225.4	C8H16N2O3	POS	HMDB0000446	N - α -乙酰- L -赖氨酸	1946-82-3	C12989	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0074	N-Acetyl-arginine	3.96	level1			217.1294	215.7	C8H16N4O3	POS	HMDB0004620	N -乙酰- L -精氨酸	155-84-0		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0075	Glycine	3.96	level1			76.0392	213.4	C2H5NO2	POS	HMDB0000123	甘氨酸	56-40-6	C00037	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0076	Homoserine	3.96	level1			120.0654	211.4	C4H9NO3	POS	HMDB0000719	L-高丝氨酸	672-15-1	C00263	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0077	N6-Acetyllysine	3.96	level1			189.1234	204.9	C8H16N2O3	POS	HMDB0000206	N6 -乙酰- L -赖氨酸	692-04-6	C02727	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0078	Pi-Methylimidazoleacetic acid (hydrochloride)	3.96	level1			141.0657	187.4	C6H8N2O2	POS	HMDB0004988		4200-48-0		Organoheterocyclic compounds	有机杂环化合物	Azoles	吡咯类	Imidazoles	咪唑
CPD0079	N-Acetylmuramic acid	3.96	level1			276.1078	185.9	C11H19NO8	POS	HMDB0060493	N -乙酰胞壁酸	2245794-62-9	C02713	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0080	Tyrosine	3.96	level1			182.081	180.5	C9H11NO3	POS	HMDB0000158	酪氨酸	60-18-4	C00082	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0081	Urocanic acid	3.96	level1			139.0501	173.6	C6H6N2O2	POS	HMDB0000301	尿刊酸	104-98-3	C00785	Organoheterocyclic compounds	有机杂环化合物	Azoles	吡咯类	Imidazoles	咪唑
CPD0082	2-Pyrimidinylacetic acid	3.96	level1			139.0501	173.6	C6H6N2O2	POS		2 -嘧啶乙酸	66621-73-6		Organoheterocyclic compounds	有机杂环化合物	Diazines	二氮杂苯	Pyrimidines and pyrimidine derivatives	嘧啶类和嘧啶类衍生物
CPD0083	Taurine	3.96	level1			126.0219	173.3	C2H7NO3S	POS	HMDB0000251	牛磺酸	107-35-7	C00245	Organic acids and derivatives	有机酸及其衍生物	Organic sulfonic acids and derivatives	有机磺酸及衍生物	Organosulfonic acids and derivatives	有机磺酸及衍生物
CPD0084	1-Aminopropan-2-ol	3.96	level1			76.0756	162.3	C3H9NO	POS	HMDB0012136	异丙醇胺	78-96-6	C05771	Organic nitrogen compounds	有机含氮化合物	Organonitrogen compounds	有机氮化合物	Amines	胺
CPD0085	Stachydrine	3.96	level1			144.1018	161	C7H13NO2	POS	HMDB0004827	水苏碱	4136-37-2	C10172	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0086	"Adenosine 2',3'-cyclic phosphate"	3.96	level1			330.0597	160.9	C10H12N5O6P	POS	HMDB0011616	腺苷2 '，3 ' -环磷酸	634-01-5	C08355	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleotides	嘌呤核苷酸类	Cyclic purine nucleotides	环嘌呤核苷酸
CPD0087	Betaine	3.96	level1			118.086	160.4	C5H11NO2	POS	HMDB0000043	甜菜碱	107-43-7	C00719	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0088	Isobutyrylcarnitine (Car(4:0))	3.96	level1			232.1541	156.9	C11H21NO4	POS	HMDB0000736	异丁酰肉碱	25518-49-4		Lipids and lipid-like molecules	脂质和类脂分子	Fatty Acyls	脂肪酰类	Fatty acid esters	脂肪酸酯
CPD0089	Methylguanidine	3.96	level1			74.0712	151.3	C2H7N3	POS	HMDB0001522	甲基胍	471-29-4	C02294	Organic nitrogen compounds	有机含氮化合物	Organonitrogen compounds	有机氮化合物	Guanidines	胍
CPD0090	Hexanoylcarnitine (Car(6:0))	3.96	level1			260.1856	137.2	C13H25NO4	POS	HMDB0000756	己酰肉碱	6418-78-6		Lipids and lipid-like molecules	脂质和类脂分子	Fatty Acyls	脂肪酰类	Fatty acid esters	脂肪酸酯
CPD0091	Thr-Phe	3.96	level1			267.134	133.4	C13H18N2O4	POS	HMDB0029068	苏氨酰苯丙氨酸	16875-27-7		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0092	Val-Val	3.96	level1			217.1546	124.7	C10H20N2O3	POS	HMDB0029140	缬氨酰-缬氨酸	3918-94-3		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0093	Riboflavin	3.96	level1			377.1456	122.7	C17H20N4O6	POS	HMDB0000244	核黄素	83-88-5	C00255	Organoheterocyclic compounds	有机杂环化合物	Pteridines and derivatives	蝶啶及衍生物	Alloxazines and isoalloxazines	咯嗪和异咯嗪类
CPD0094	Tyramine	3.96	level1			138.0912	117.6	C8H11NO	POS	HMDB0000306	酪胺	51-67-2	C00483	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Phenethylamines	苯乙胺
CPD0095	Kynurenic acid	3.96	level1			190.0498	96.2	C10H7NO3	POS	HMDB0000715	犬尿喹啉酸	492-27-3	C01717	Organoheterocyclic compounds	有机杂环化合物	Quinolines and derivatives	喹啉及衍生物	Quinoline carboxylic acids	喹啉羧酸
CPD0096	7-Methylguanine	3.96	level1			166.0723	94.3	C6H7N5O	POS	HMDB0000897		578-76-7	C02242	Organoheterocyclic compounds	有机杂环化合物	Imidazopyrimidines	咪唑并嘧啶	Purines and purine derivatives	嘌呤和嘌呤衍生物
